"Industry","Date","Value","GEO"
"Agriculture, forestry",2015-09-01,5,NA
"Agriculture, forestry",2015-10-01,4,NA
"Agriculture, forestry",2015-11-01,5,NA
"Agriculture, forestry",2015-12-01,4,NA
"Agriculture, forestry",2016-01-01,3,NA
"Agriculture, forestry",2016-02-01,11,NA
"Agriculture, forestry",2016-03-01,8,NA
"Agriculture, forestry",2016-04-01,6,NA
"Agriculture, forestry",2016-05-01,0,NA
"Agriculture, forestry",2016-06-01,3,NA
"Agriculture, forestry",2016-07-01,3,NA
"Agriculture, forestry",2016-08-01,1,NA
"Agriculture, forestry",2016-09-01,3,NA
"Agriculture, forestry",2016-10-01,8,NA
"Agriculture, forestry",2016-11-01,7,NA
"Agriculture, forestry",2016-12-01,9,NA
"Agriculture, forestry",2017-01-01,4,NA
"Agriculture, forestry",2017-02-01,2,NA
"Agriculture, forestry",2017-03-01,6,NA
"Agriculture, forestry",2017-04-01,7,NA
"Agriculture, forestry",2017-05-01,7,NA
"Agriculture, forestry",2017-06-01,2,NA
"Agriculture, forestry",2017-07-01,2,NA
"Agriculture, forestry",2017-08-01,7,NA
"Agriculture, forestry",2017-09-01,3,NA
"Agriculture, forestry",2017-10-01,1,NA
"Agriculture, forestry",2017-11-01,3,NA
"Agriculture, forestry",2017-12-01,5,NA
"Agriculture, forestry",2018-01-01,5,NA
"Agriculture, forestry",2018-02-01,3,NA
"Agriculture, forestry",2018-03-01,4,NA
"Agriculture, forestry",2018-04-01,4,NA
"Agriculture, forestry",2018-05-01,7,NA
"Agriculture, forestry",2018-06-01,5,NA
"Agriculture, forestry",2018-07-01,2,NA
"Agriculture, forestry",2018-08-01,3,NA
"Agriculture, forestry",2018-09-01,4,NA
"Agriculture, forestry",2018-10-01,2,NA
"Agriculture, forestry",2018-11-01,2,NA
"Agriculture, forestry",2018-12-01,5,NA
"Agriculture, forestry",2019-01-01,10,NA
"Agriculture, forestry",2019-02-01,3,NA
"Agriculture, forestry",2019-03-01,5,NA
"Agriculture, forestry",2019-04-01,4,NA
"Agriculture, forestry",2019-05-01,3,NA
"Agriculture, forestry",2019-06-01,1,NA
"Agriculture, forestry",2019-07-01,0,NA
"Agriculture, forestry",2019-08-01,5,NA
"Agriculture, forestry",2019-09-01,2,NA
"Agriculture, forestry",2019-10-01,7,NA
"Agriculture, forestry",2019-11-01,4,NA
"Agriculture, forestry",2019-12-01,2,NA
"Agriculture, forestry",2020-01-01,5,NA
"Agriculture, forestry",2020-02-01,1,NA
"Agriculture, forestry",2020-03-01,5,NA
"Agriculture, forestry",2020-04-01,0,NA
"Agriculture, forestry",2020-05-01,4,NA
"Agriculture, forestry",2020-06-01,7,NA
"Agriculture, forestry",2020-07-01,4,NA
"Agriculture, forestry",2020-08-01,3,NA
"Agriculture, forestry",2020-09-01,6,NA
"Agriculture, forestry",2020-10-01,2,NA
"Agriculture, forestry",2020-11-01,4,NA
"Agriculture, forestry",2020-12-01,3,NA
"Agriculture, forestry",2021-01-01,5,NA
"Agriculture, forestry",2021-02-01,2,NA
"Agriculture, forestry",2021-03-01,4,NA
"Agriculture, forestry",2021-04-01,4,NA
"Agriculture, forestry",2021-05-01,3,NA
"Agriculture, forestry",2021-06-01,2,NA
"Agriculture, forestry",2021-07-01,4,NA
"Agriculture, forestry",2021-08-01,5,NA
"Agriculture, forestry",2021-09-01,1,NA
"Agriculture, forestry",2021-10-01,4,NA
"Agriculture, forestry",2021-11-01,5,NA
"Agriculture, forestry",2021-12-01,3,NA
"Agriculture, forestry",2022-01-01,5,NA
"Agriculture, forestry",2022-02-01,17,NA
"Agriculture, forestry",2022-03-01,6,NA
"Agriculture, forestry",2022-04-01,7,NA
"Agriculture, forestry",2022-05-01,6,NA
"Agriculture, forestry",2022-06-01,2,NA
"Agriculture, forestry",2022-07-01,3,NA
"Agriculture, forestry",2022-08-01,5,NA
"Agriculture, forestry",2022-09-01,1,NA
"Agriculture, forestry",2022-10-01,2,NA
"Agriculture, forestry",2022-11-01,3,NA
"Agriculture, forestry",2022-12-01,5,NA
"Agriculture, forestry",2023-01-01,13,NA
"Agriculture, forestry",2023-02-01,4,NA
"Agriculture, forestry",2023-03-01,6,NA
"Agriculture, forestry",2023-04-01,4,NA
"Agriculture, forestry",2023-05-01,5,NA
"Agriculture, forestry",2023-06-01,3,NA
"Agriculture, forestry",2023-07-01,6,NA
"Agriculture, forestry",2023-08-01,3,NA
"Agriculture, forestry",2023-09-01,4,NA
"Agriculture, forestry",2023-10-01,2,NA
"Agriculture, forestry",2023-11-01,4,NA
"Agriculture, forestry",2023-12-01,9,NA
"Agriculture, forestry",2024-01-01,7,NA
"Agriculture, forestry",2024-02-01,8,NA
"Agriculture, forestry",2024-03-01,9,NA
"Agriculture, forestry",2024-04-01,8,NA
"Agriculture, forestry",2024-05-01,5,NA
"Agriculture, forestry",2024-06-01,7,NA
"Agriculture, forestry",2024-07-01,5,NA
"Agriculture, forestry",2024-08-01,4,NA
"Agriculture, forestry",2024-09-01,4,NA
"Agriculture, forestry",2024-10-01,4,NA
"Agriculture, forestry",2024-11-01,6,NA
"Agriculture, forestry",2024-12-01,7,NA
"Agriculture, forestry",2025-01-01,4,NA
"Agriculture, forestry",2025-02-01,6,NA
"Agriculture, forestry",2025-03-01,3,NA
"Agriculture, forestry",2025-04-01,8,NA
"Agriculture, forestry",2025-05-01,9,NA
"Mining, oil and gas",2011-01-01,7,NA
"Mining, oil and gas",2011-02-01,0,NA
"Mining, oil and gas",2011-03-01,1,NA
"Mining, oil and gas",2011-04-01,3,NA
"Mining, oil and gas",2011-05-01,2,NA
"Mining, oil and gas",2011-06-01,1,NA
"Mining, oil and gas",2011-07-01,1,NA
"Mining, oil and gas",2011-08-01,1,NA
"Mining, oil and gas",2011-09-01,1,NA
"Mining, oil and gas",2011-10-01,1,NA
"Mining, oil and gas",2011-11-01,1,NA
"Mining, oil and gas",2011-12-01,1,NA
"Mining, oil and gas",2012-01-01,1,NA
"Mining, oil and gas",2012-02-01,0,NA
"Mining, oil and gas",2012-03-01,0,NA
"Mining, oil and gas",2012-04-01,3,NA
"Mining, oil and gas",2012-05-01,2,NA
"Mining, oil and gas",2012-06-01,2,NA
"Mining, oil and gas",2012-07-01,6,NA
"Mining, oil and gas",2012-08-01,2,NA
"Mining, oil and gas",2012-09-01,4,NA
"Mining, oil and gas",2012-10-01,0,NA
"Mining, oil and gas",2012-11-01,2,NA
"Mining, oil and gas",2012-12-01,5,NA
"Mining, oil and gas",2013-01-01,0,NA
"Mining, oil and gas",2013-02-01,0,NA
"Mining, oil and gas",2013-03-01,2,NA
"Mining, oil and gas",2013-04-01,4,NA
"Mining, oil and gas",2013-05-01,3,NA
"Mining, oil and gas",2013-06-01,1,NA
"Mining, oil and gas",2013-07-01,0,NA
"Mining, oil and gas",2013-08-01,0,NA
"Mining, oil and gas",2013-09-01,1,NA
"Mining, oil and gas",2013-10-01,2,NA
"Mining, oil and gas",2013-11-01,0,NA
"Mining, oil and gas",2013-12-01,2,NA
"Mining, oil and gas",2014-01-01,2,NA
"Mining, oil and gas",2014-02-01,3,NA
"Mining, oil and gas",2014-03-01,3,NA
"Mining, oil and gas",2014-04-01,4,NA
"Mining, oil and gas",2014-05-01,1,NA
"Mining, oil and gas",2014-06-01,0,NA
"Mining, oil and gas",2014-07-01,0,NA
"Mining, oil and gas",2014-08-01,1,NA
"Mining, oil and gas",2014-09-01,2,NA
"Mining, oil and gas",2014-10-01,2,NA
"Mining, oil and gas",2014-11-01,1,NA
"Mining, oil and gas",2014-12-01,1,NA
"Mining, oil and gas",2015-01-01,1,NA
"Mining, oil and gas",2015-02-01,1,NA
"Mining, oil and gas",2015-03-01,2,NA
"Mining, oil and gas",2015-04-01,5,NA
"Mining, oil and gas",2015-05-01,2,NA
"Mining, oil and gas",2015-06-01,3,NA
"Mining, oil and gas",2015-07-01,0,NA
"Mining, oil and gas",2015-08-01,1,NA
"Mining, oil and gas",2015-09-01,5,NA
"Mining, oil and gas",2015-10-01,1,NA
"Mining, oil and gas",2015-11-01,4,NA
"Mining, oil and gas",2015-12-01,6,NA
"Mining, oil and gas",2016-01-01,3,NA
"Mining, oil and gas",2016-02-01,3,NA
"Mining, oil and gas",2016-03-01,1,NA
"Mining, oil and gas",2016-04-01,1,NA
"Mining, oil and gas",2016-05-01,1,NA
"Mining, oil and gas",2016-06-01,7,NA
"Mining, oil and gas",2016-07-01,4,NA
"Mining, oil and gas",2016-08-01,1,NA
"Mining, oil and gas",2016-09-01,2,NA
"Mining, oil and gas",2016-10-01,10,NA
"Mining, oil and gas",2016-11-01,4,NA
"Mining, oil and gas",2016-12-01,13,NA
"Mining, oil and gas",2017-01-01,0,NA
"Mining, oil and gas",2017-02-01,2,NA
"Mining, oil and gas",2017-03-01,1,NA
"Mining, oil and gas",2017-04-01,5,NA
"Mining, oil and gas",2017-05-01,4,NA
"Mining, oil and gas",2017-06-01,2,NA
"Mining, oil and gas",2017-07-01,1,NA
"Mining, oil and gas",2017-08-01,3,NA
"Mining, oil and gas",2017-09-01,1,NA
"Mining, oil and gas",2017-10-01,3,NA
"Mining, oil and gas",2017-11-01,5,NA
"Mining, oil and gas",2017-12-01,3,NA
"Mining, oil and gas",2018-01-01,0,NA
"Mining, oil and gas",2018-02-01,0,NA
"Mining, oil and gas",2018-03-01,1,NA
"Mining, oil and gas",2018-04-01,3,NA
"Mining, oil and gas",2018-05-01,1,NA
"Mining, oil and gas",2018-06-01,1,NA
"Mining, oil and gas",2018-07-01,0,NA
"Mining, oil and gas",2018-08-01,1,NA
"Mining, oil and gas",2018-09-01,0,NA
"Mining, oil and gas",2018-10-01,0,NA
"Mining, oil and gas",2018-11-01,3,NA
"Mining, oil and gas",2018-12-01,5,NA
"Mining, oil and gas",2019-01-01,1,NA
"Mining, oil and gas",2019-02-01,1,NA
"Mining, oil and gas",2019-03-01,7,NA
"Mining, oil and gas",2019-04-01,0,NA
"Mining, oil and gas",2019-05-01,1,NA
"Mining, oil and gas",2019-06-01,5,NA
"Mining, oil and gas",2019-07-01,4,NA
"Mining, oil and gas",2019-08-01,1,NA
"Mining, oil and gas",2019-09-01,1,NA
"Mining, oil and gas",2019-10-01,0,NA
"Mining, oil and gas",2019-11-01,2,NA
"Mining, oil and gas",2019-12-01,2,NA
"Mining, oil and gas",2020-01-01,1,NA
"Mining, oil and gas",2020-02-01,2,NA
"Mining, oil and gas",2020-03-01,2,NA
"Mining, oil and gas",2020-04-01,0,NA
"Mining, oil and gas",2020-05-01,2,NA
"Mining, oil and gas",2020-06-01,0,NA
"Mining, oil and gas",2020-07-01,0,NA
"Mining, oil and gas",2020-08-01,3,NA
"Mining, oil and gas",2020-09-01,2,NA
"Mining, oil and gas",2020-10-01,8,NA
"Mining, oil and gas",2020-11-01,3,NA
"Mining, oil and gas",2020-12-01,2,NA
"Mining, oil and gas",2021-01-01,2,NA
"Mining, oil and gas",2021-02-01,2,NA
"Mining, oil and gas",2021-03-01,3,NA
"Mining, oil and gas",2021-04-01,3,NA
"Mining, oil and gas",2021-05-01,7,NA
"Mining, oil and gas",2021-06-01,4,NA
"Mining, oil and gas",2021-07-01,4,NA
"Mining, oil and gas",2021-08-01,3,NA
"Mining, oil and gas",2021-09-01,0,NA
"Mining, oil and gas",2021-10-01,0,NA
"Mining, oil and gas",2021-11-01,0,NA
"Mining, oil and gas",2021-12-01,0,NA
"Mining, oil and gas",2022-01-01,4,NA
"Mining, oil and gas",2022-02-01,2,NA
"Mining, oil and gas",2022-03-01,1,NA
"Mining, oil and gas",2022-04-01,1,NA
"Mining, oil and gas",2022-05-01,1,NA
"Mining, oil and gas",2022-06-01,2,NA
"Mining, oil and gas",2022-07-01,2,NA
"Mining, oil and gas",2022-08-01,2,NA
"Mining, oil and gas",2022-09-01,3,NA
"Mining, oil and gas",2022-10-01,1,NA
"Mining, oil and gas",2022-11-01,3,NA
"Mining, oil and gas",2022-12-01,1,NA
"Mining, oil and gas",2023-01-01,1,NA
"Mining, oil and gas",2023-02-01,3,NA
"Mining, oil and gas",2023-03-01,1,NA
"Mining, oil and gas",2023-04-01,2,NA
"Mining, oil and gas",2023-05-01,1,NA
"Mining, oil and gas",2023-06-01,1,NA
"Mining, oil and gas",2023-07-01,2,NA
"Mining, oil and gas",2023-08-01,4,NA
"Mining, oil and gas",2023-09-01,6,NA
"Mining, oil and gas",2023-10-01,0,NA
"Mining, oil and gas",2023-11-01,2,NA
"Mining, oil and gas",2023-12-01,1,NA
"Mining, oil and gas",2024-01-01,3,NA
"Mining, oil and gas",2024-02-01,1,NA
"Mining, oil and gas",2024-03-01,2,NA
"Mining, oil and gas",2024-04-01,1,NA
"Mining, oil and gas",2024-05-01,3,NA
"Mining, oil and gas",2024-06-01,0,NA
"Mining, oil and gas",2024-07-01,0,NA
"Mining, oil and gas",2024-08-01,0,NA
"Mining, oil and gas",2024-09-01,1,NA
"Mining, oil and gas",2024-10-01,2,NA
"Mining, oil and gas",2024-11-01,1,NA
"Mining, oil and gas",2024-12-01,2,NA
"Mining, oil and gas",2025-01-01,4,NA
"Mining, oil and gas",2025-02-01,1,NA
"Mining, oil and gas",2025-03-01,7,NA
"Mining, oil and gas",2025-04-01,2,NA
"Mining, oil and gas",2025-05-01,1,NA
"Utilities",2011-01-01,0,NA
"Utilities",2011-02-01,0,NA
"Utilities",2011-03-01,2,NA
"Utilities",2011-04-01,1,NA
"Utilities",2011-05-01,1,NA
"Utilities",2011-06-01,1,NA
"Utilities",2011-07-01,1,NA
"Utilities",2011-08-01,1,NA
"Utilities",2011-09-01,0,NA
"Utilities",2011-10-01,1,NA
"Utilities",2011-11-01,2,NA
"Utilities",2011-12-01,0,NA
"Utilities",2012-01-01,2,NA
"Utilities",2012-02-01,0,NA
"Utilities",2012-03-01,1,NA
"Utilities",2012-04-01,2,NA
"Utilities",2012-05-01,1,NA
"Utilities",2012-06-01,2,NA
"Utilities",2012-07-01,1,NA
"Utilities",2012-08-01,0,NA
"Utilities",2012-09-01,0,NA
"Utilities",2012-10-01,2,NA
"Utilities",2012-11-01,0,NA
"Utilities",2012-12-01,0,NA
"Utilities",2013-01-01,0,NA
"Utilities",2013-02-01,3,NA
"Utilities",2013-03-01,0,NA
"Utilities",2013-04-01,0,NA
"Utilities",2013-05-01,0,NA
"Utilities",2013-06-01,0,NA
"Utilities",2013-07-01,0,NA
"Utilities",2013-08-01,0,NA
"Utilities",2013-09-01,0,NA
"Utilities",2013-10-01,0,NA
"Utilities",2013-11-01,0,NA
"Utilities",2013-12-01,2,NA
"Utilities",2014-01-01,1,NA
"Utilities",2014-02-01,0,NA
"Utilities",2014-03-01,3,NA
"Utilities",2014-04-01,0,NA
"Utilities",2014-05-01,0,NA
"Utilities",2014-06-01,0,NA
"Utilities",2014-07-01,2,NA
"Utilities",2014-08-01,1,NA
"Utilities",2014-09-01,2,NA
"Utilities",2014-10-01,0,NA
"Utilities",2014-11-01,0,NA
"Utilities",2014-12-01,0,NA
"Utilities",2015-01-01,0,NA
"Utilities",2015-02-01,1,NA
"Utilities",2015-03-01,0,NA
"Utilities",2015-04-01,2,NA
"Utilities",2015-05-01,1,NA
"Utilities",2015-06-01,1,NA
"Utilities",2015-07-01,2,NA
"Utilities",2015-08-01,0,NA
"Utilities",2015-09-01,2,NA
"Utilities",2015-10-01,0,NA
"Utilities",2015-11-01,1,NA
"Utilities",2015-12-01,0,NA
"Utilities",2016-01-01,0,NA
"Utilities",2016-02-01,0,NA
"Utilities",2016-03-01,0,NA
"Utilities",2016-04-01,0,NA
"Utilities",2016-05-01,0,NA
"Utilities",2016-06-01,0,NA
"Utilities",2016-07-01,0,NA
"Utilities",2016-08-01,0,NA
"Utilities",2016-09-01,1,NA
"Utilities",2016-10-01,0,NA
"Utilities",2016-11-01,1,NA
"Utilities",2016-12-01,1,NA
"Utilities",2017-01-01,1,NA
"Utilities",2017-02-01,0,NA
"Utilities",2017-03-01,1,NA
"Utilities",2017-04-01,1,NA
"Utilities",2017-05-01,0,NA
"Utilities",2017-06-01,0,NA
"Utilities",2017-07-01,1,NA
"Utilities",2017-08-01,0,NA
"Utilities",2017-09-01,0,NA
"Utilities",2017-10-01,1,NA
"Utilities",2017-11-01,0,NA
"Utilities",2017-12-01,1,NA
"Utilities",2018-01-01,0,NA
"Utilities",2018-02-01,3,NA
"Utilities",2018-03-01,0,NA
"Utilities",2018-04-01,1,NA
"Utilities",2018-05-01,0,NA
"Utilities",2018-06-01,0,NA
"Utilities",2018-07-01,0,NA
"Utilities",2018-08-01,0,NA
"Utilities",2018-09-01,0,NA
"Utilities",2018-10-01,0,NA
"Utilities",2018-11-01,0,NA
"Utilities",2018-12-01,1,NA
"Utilities",2019-01-01,0,NA
"Utilities",2019-02-01,0,NA
"Utilities",2019-03-01,0,NA
"Utilities",2019-04-01,0,NA
"Utilities",2019-05-01,1,NA
"Utilities",2019-06-01,0,NA
"Utilities",2019-07-01,0,NA
"Utilities",2019-08-01,1,NA
"Utilities",2019-09-01,2,NA
"Utilities",2019-10-01,0,NA
"Utilities",2019-11-01,0,NA
"Utilities",2019-12-01,0,NA
"Utilities",2020-01-01,0,NA
"Utilities",2020-02-01,0,NA
"Utilities",2020-03-01,2,NA
"Utilities",2020-04-01,0,NA
"Utilities",2020-05-01,1,NA
"Utilities",2020-06-01,0,NA
"Utilities",2020-07-01,0,NA
"Utilities",2020-08-01,1,NA
"Utilities",2020-09-01,0,NA
"Utilities",2020-10-01,1,NA
"Utilities",2020-11-01,0,NA
"Utilities",2020-12-01,0,NA
"Utilities",2021-01-01,0,NA
"Utilities",2021-02-01,0,NA
"Utilities",2021-03-01,0,NA
"Utilities",2021-04-01,0,NA
"Utilities",2021-05-01,0,NA
"Utilities",2021-06-01,0,NA
"Utilities",2021-07-01,0,NA
"Utilities",2021-08-01,0,NA
"Utilities",2021-09-01,0,NA
"Utilities",2021-10-01,0,NA
"Utilities",2021-11-01,1,NA
"Utilities",2021-12-01,0,NA
"Utilities",2022-01-01,0,NA
"Utilities",2022-02-01,1,NA
"Utilities",2022-03-01,0,NA
"Utilities",2022-04-01,1,NA
"Utilities",2022-05-01,0,NA
"Utilities",2022-06-01,2,NA
"Utilities",2022-07-01,0,NA
"Utilities",2022-08-01,0,NA
"Utilities",2022-09-01,0,NA
"Utilities",2022-10-01,0,NA
"Utilities",2022-11-01,0,NA
"Utilities",2022-12-01,0,NA
"Utilities",2023-01-01,1,NA
"Utilities",2023-02-01,0,NA
"Utilities",2023-03-01,0,NA
"Utilities",2023-04-01,0,NA
"Utilities",2023-05-01,1,NA
"Utilities",2023-06-01,1,NA
"Utilities",2023-07-01,0,NA
"Utilities",2023-08-01,0,NA
"Utilities",2023-09-01,0,NA
"Utilities",2023-10-01,2,NA
"Utilities",2023-11-01,0,NA
"Utilities",2023-12-01,2,NA
"Utilities",2024-01-01,1,NA
"Utilities",2024-02-01,0,NA
"Utilities",2024-03-01,0,NA
"Utilities",2024-04-01,1,NA
"Utilities",2024-05-01,1,NA
"Utilities",2024-06-01,0,NA
"Utilities",2024-07-01,0,NA
"Utilities",2024-08-01,2,NA
"Utilities",2024-09-01,0,NA
"Utilities",2024-10-01,1,NA
"Utilities",2024-11-01,1,NA
"Utilities",2024-12-01,2,NA
"Utilities",2025-01-01,0,NA
"Utilities",2025-02-01,6,NA
"Utilities",2025-03-01,0,NA
"Utilities",2025-04-01,2,NA
"Utilities",2025-05-01,1,NA
"Construction",2011-01-01,46,NA
"Construction",2011-02-01,62,NA
"Construction",2011-03-01,75,NA
"Construction",2011-04-01,45,NA
"Construction",2011-05-01,58,NA
"Construction",2011-06-01,62,NA
"Construction",2011-07-01,36,NA
"Construction",2011-08-01,46,NA
"Construction",2011-09-01,53,NA
"Construction",2011-10-01,55,NA
"Construction",2011-11-01,36,NA
"Construction",2011-12-01,46,NA
"Construction",2012-01-01,55,NA
"Construction",2012-02-01,48,NA
"Construction",2012-03-01,69,NA
"Construction",2012-04-01,52,NA
"Construction",2012-05-01,55,NA
"Construction",2012-06-01,56,NA
"Construction",2012-07-01,50,NA
"Construction",2012-08-01,41,NA
"Construction",2012-09-01,42,NA
"Construction",2012-10-01,49,NA
"Construction",2012-11-01,52,NA
"Construction",2012-12-01,38,NA
"Construction",2013-01-01,38,NA
"Construction",2013-02-01,57,NA
"Construction",2013-03-01,57,NA
"Construction",2013-04-01,45,NA
"Construction",2013-05-01,50,NA
"Construction",2013-06-01,42,NA
"Construction",2013-07-01,46,NA
"Construction",2013-08-01,50,NA
"Construction",2013-09-01,44,NA
"Construction",2013-10-01,43,NA
"Construction",2013-11-01,41,NA
"Construction",2013-12-01,51,NA
"Construction",2014-01-01,50,NA
"Construction",2014-02-01,45,NA
"Construction",2014-03-01,44,NA
"Construction",2014-04-01,49,NA
"Construction",2014-05-01,56,NA
"Construction",2014-06-01,48,NA
"Construction",2014-07-01,44,NA
"Construction",2014-08-01,35,NA
"Construction",2014-09-01,37,NA
"Construction",2014-10-01,43,NA
"Construction",2014-11-01,37,NA
"Construction",2014-12-01,42,NA
"Construction",2015-01-01,38,NA
"Construction",2015-02-01,45,NA
"Construction",2015-03-01,58,NA
"Construction",2015-04-01,56,NA
"Construction",2015-05-01,38,NA
"Construction",2015-06-01,54,NA
"Construction",2015-07-01,44,NA
"Construction",2015-08-01,32,NA
"Construction",2015-09-01,57,NA
"Construction",2015-10-01,49,NA
"Construction",2015-11-01,54,NA
"Construction",2015-12-01,47,NA
"Construction",2016-01-01,40,NA
"Construction",2016-02-01,48,NA
"Construction",2016-03-01,56,NA
"Construction",2016-04-01,53,NA
"Construction",2016-05-01,44,NA
"Construction",2016-06-01,33,NA
"Construction",2016-07-01,42,NA
"Construction",2016-08-01,36,NA
"Construction",2016-09-01,44,NA
"Construction",2016-10-01,44,NA
"Construction",2016-11-01,35,NA
"Construction",2016-12-01,45,NA
"Construction",2017-01-01,34,NA
"Construction",2017-02-01,36,NA
"Construction",2017-03-01,47,NA
"Construction",2017-04-01,33,NA
"Construction",2017-05-01,55,NA
"Construction",2017-06-01,47,NA
"Construction",2017-07-01,26,NA
"Construction",2017-08-01,43,NA
"Construction",2017-09-01,36,NA
"Construction",2017-10-01,50,NA
"Construction",2017-11-01,28,NA
"Construction",2017-12-01,44,NA
"Construction",2018-01-01,42,NA
"Construction",2018-02-01,48,NA
"Construction",2018-03-01,49,NA
"Construction",2018-04-01,48,NA
"Construction",2018-05-01,51,NA
"Construction",2018-06-01,32,NA
"Construction",2018-07-01,38,NA
"Construction",2018-08-01,35,NA
"Construction",2018-09-01,45,NA
"Construction",2018-10-01,49,NA
"Construction",2018-11-01,44,NA
"Construction",2018-12-01,46,NA
"Construction",2019-01-01,34,NA
"Construction",2019-02-01,48,NA
"Construction",2019-03-01,61,NA
"Construction",2019-04-01,50,NA
"Construction",2019-05-01,51,NA
"Construction",2019-06-01,29,NA
"Construction",2019-07-01,52,NA
"Construction",2019-08-01,36,NA
"Construction",2019-09-01,33,NA
"Construction",2019-10-01,38,NA
"Construction",2019-11-01,41,NA
"Construction",2019-12-01,26,NA
"Construction",2020-01-01,23,NA
"Construction",2020-02-01,48,NA
"Construction",2020-03-01,27,NA
"Construction",2020-04-01,12,NA
"Construction",2020-05-01,8,NA
"Construction",2020-06-01,25,NA
"Construction",2020-07-01,16,NA
"Construction",2020-08-01,16,NA
"Construction",2020-09-01,19,NA
"Construction",2020-10-01,24,NA
"Construction",2020-11-01,23,NA
"Construction",2020-12-01,17,NA
"Construction",2021-01-01,23,NA
"Construction",2021-02-01,25,NA
"Construction",2021-03-01,13,NA
"Construction",2021-04-01,13,NA
"Construction",2021-05-01,26,NA
"Construction",2021-06-01,30,NA
"Construction",2021-07-01,12,NA
"Construction",2021-08-01,21,NA
"Construction",2021-09-01,20,NA
"Construction",2021-10-01,30,NA
"Construction",2021-11-01,24,NA
"Construction",2021-12-01,25,NA
"Construction",2022-01-01,23,NA
"Construction",2022-02-01,21,NA
"Construction",2022-03-01,40,NA
"Construction",2022-04-01,32,NA
"Construction",2022-05-01,22,NA
"Construction",2022-06-01,39,NA
"Construction",2022-07-01,17,NA
"Construction",2022-08-01,29,NA
"Construction",2022-09-01,24,NA
"Construction",2022-10-01,36,NA
"Construction",2022-11-01,41,NA
"Construction",2022-12-01,33,NA
"Construction",2023-01-01,31,NA
"Construction",2023-02-01,26,NA
"Construction",2023-03-01,46,NA
"Construction",2023-04-01,42,NA
"Construction",2023-05-01,31,NA
"Construction",2023-06-01,45,NA
"Construction",2023-07-01,28,NA
"Construction",2023-08-01,48,NA
"Construction",2023-09-01,44,NA
"Construction",2023-10-01,58,NA
"Construction",2023-11-01,46,NA
"Construction",2023-12-01,55,NA
"Construction",2024-01-01,56,NA
"Construction",2024-02-01,70,NA
"Construction",2024-03-01,57,NA
"Construction",2024-04-01,54,NA
"Construction",2024-05-01,68,NA
"Construction",2024-06-01,44,NA
"Construction",2024-07-01,47,NA
"Construction",2024-08-01,45,NA
"Construction",2024-09-01,50,NA
"Construction",2024-10-01,57,NA
"Construction",2024-11-01,58,NA
"Construction",2024-12-01,32,NA
"Construction",2025-01-01,35,NA
"Construction",2025-02-01,57,NA
