"dataPoints.date","dataPoints.nSeriesData","description","Haver_code"
"1995-06-01",1148,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-07-01",1018,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-08-01",1096,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-09-01",1081,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-10-01",1195,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-11-01",1296,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1995-12-01",1188,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-01-01",1353,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-02-01",1390,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-03-01",1368,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-04-01",1332,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-05-01",1352,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-06-01",1110,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-07-01",1112,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-08-01",1118,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-09-01",1186,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-10-01",1225,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-11-01",1220,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1996-12-01",1054,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-01-01",1162,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-02-01",1301,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-03-01",1170,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-04-01",1322,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-05-01",1172,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-06-01",1058,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-07-01",1102,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-08-01",949,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-09-01",1014,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-10-01",1112,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-11-01",1026,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1997-12-01",1016,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-01-01",940,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-02-01",1115,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-03-01",1115,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-04-01",1044,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-05-01",961,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-06-01",1053,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-07-01",965,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-08-01",842,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-09-01",1011,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-10-01",1063,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-11-01",1084,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1998-12-01",931,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-01-01",950,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-02-01",1005,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-03-01",1201,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-04-01",979,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-05-01",944,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-06-01",1037,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-07-01",852,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-08-01",821,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-09-01",914,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-10-01",892,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-11-01",1067,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"1999-12-01",939,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-01-01",928,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-02-01",1073,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-03-01",1171,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-04-01",915,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-05-01",1059,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-06-01",982,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-07-01",938,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-08-01",911,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-09-01",944,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-10-01",1039,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-11-01",1041,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2000-12-01",820,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-01-01",1051,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-02-01",1040,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-03-01",1208,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-04-01",1089,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-05-01",1107,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-06-01",1031,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-07-01",847,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-08-01",905,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-09-01",782,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-10-01",1232,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-11-01",1110,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2001-12-01",846,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-01-01",1084,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-02-01",1011,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-03-01",1076,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-04-01",1073,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-05-01",1058,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-06-01",867,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-07-01",863,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-08-01",909,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-09-01",840,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-10-01",929,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-11-01",875,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2002-12-01",787,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-01-01",908,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-02-01",902,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-03-01",1044,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-04-01",973,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-05-01",929,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-06-01",898,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-07-01",821,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-08-01",704,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-09-01",885,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-10-01",926,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-11-01",849,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2003-12-01",839,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-01-01",808,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-02-01",922,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-03-01",1050,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-04-01",851,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-05-01",749,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-06-01",888,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-07-01",754,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-08-01",729,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-09-01",730,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-10-01",753,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-11-01",848,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2004-12-01",785,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-01-01",742,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-02-01",885,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-03-01",942,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-04-01",875,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-05-01",832,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-06-01",753,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-07-01",641,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-08-01",657,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-09-01",708,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-10-01",712,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-11-01",732,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2005-12-01",701,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-01-01",744,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-02-01",732,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-03-01",835,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-04-01",667,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-05-01",767,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-06-01",733,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-07-01",548,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-08-01",574,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-09-01",616,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-10-01",711,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-11-01",645,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2006-12-01",599,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-01-01",664,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-02-01",710,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-03-01",725,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-04-01",676,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-05-01",654,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-06-01",627,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-07-01",587,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-08-01",597,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-09-01",554,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-10-01",620,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-11-01",643,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2007-12-01",555,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-01-01",629,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-02-01",678,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-03-01",715,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-04-01",715,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-05-01",657,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-06-01",550,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-07-01",569,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-08-01",574,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-09-01",570,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-10-01",630,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-11-01",605,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2008-12-01",553,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-01-01",567,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-02-01",614,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-03-01",615,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-04-01",637,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-05-01",574,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-06-01",626,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-07-01",526,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-08-01",466,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-09-01",579,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-10-01",543,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-11-01",516,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2009-12-01",466,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-01-01",462,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-02-01",457,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-03-01",526,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-04-01",553,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-05-01",403,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-06-01",445,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-07-01",370,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-08-01",370,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-09-01",410,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-10-01",371,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-11-01",424,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
"2010-12-01",435,"Canada: Insolvencies Filed by Businesses (NSA, Number)","IB156@CANADA"
