"Date","description","Value","Macrobond_Code"
2006-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",34,"casurv1006"
2006-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",37,"casurv1006"
2006-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",35,"casurv1006"
2007-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",41,"casurv1006"
2007-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",33,"casurv1006"
2007-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",41,"casurv1006"
2007-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",41,"casurv1006"
2008-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",30,"casurv1006"
2008-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",40,"casurv1006"
2008-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2008-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",20,"casurv1006"
2009-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",13,"casurv1006"
2009-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",17,"casurv1006"
2009-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",16,"casurv1006"
2009-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",7,"casurv1006"
2010-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",12,"casurv1006"
2010-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",12,"casurv1006"
2010-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",20,"casurv1006"
2010-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",16,"casurv1006"
2011-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",14,"casurv1006"
2011-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2011-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2011-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",29,"casurv1006"
2012-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",27,"casurv1006"
2012-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",29,"casurv1006"
2012-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",33,"casurv1006"
2012-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2013-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",22,"casurv1006"
2013-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",20,"casurv1006"
2013-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
2013-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",26,"casurv1006"
2014-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",23,"casurv1006"
2014-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",22,"casurv1006"
2014-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",18,"casurv1006"
2014-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",22,"casurv1006"
2015-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",21,"casurv1006"
2015-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",19,"casurv1006"
2015-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",17,"casurv1006"
2015-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",18,"casurv1006"
2016-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",20,"casurv1006"
2016-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",19,"casurv1006"
2016-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",24,"casurv1006"
2016-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",28,"casurv1006"
2017-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",19,"casurv1006"
2017-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2017-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2017-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",30,"casurv1006"
2018-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",26,"casurv1006"
2018-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",34,"casurv1006"
2018-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",37,"casurv1006"
2018-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",37,"casurv1006"
2019-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",19,"casurv1006"
2019-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",26,"casurv1006"
2019-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",34,"casurv1006"
2019-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
2020-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",28,"casurv1006"
2020-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",13,"casurv1006"
2020-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",25,"casurv1006"
2020-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",33,"casurv1006"
2021-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",22,"casurv1006"
2021-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",23,"casurv1006"
2021-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",36,"casurv1006"
2021-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",41,"casurv1006"
2022-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",40,"casurv1006"
2022-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",42,"casurv1006"
2022-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",46,"casurv1006"
2022-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",38,"casurv1006"
2023-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",31,"casurv1006"
2023-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",30,"casurv1006"
2023-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",32,"casurv1006"
2023-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",27,"casurv1006"
2024-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",22,"casurv1006"
2024-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",15,"casurv1006"
2024-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",18,"casurv1006"
2024-10-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",17,"casurv1006"
2025-01-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",20,"casurv1006"
2025-04-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",16,"casurv1006"
2025-07-01,"Canada, Business Surveys, Bank of Canada, Business Outlook Survey, Labor Shortages",13,"casurv1006"
2003-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.5,"calama0031"
2003-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.6,"calama0031"
2003-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.6,"calama0031"
2003-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.3,"calama0031"
2004-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2004-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2004-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7,"calama0031"
2004-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7,"calama0031"
2005-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.9,"calama0031"
2005-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.9,"calama0031"
2005-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.9,"calama0031"
2005-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.8,"calama0031"
2006-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.7,"calama0031"
2006-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.5,"calama0031"
2006-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.7,"calama0031"
2006-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.7,"calama0031"
2007-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.4,"calama0031"
2007-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2007-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2007-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.2,"calama0031"
2008-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2008-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2008-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.5,"calama0031"
2008-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2009-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.1,"calama0031"
2009-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.5,"calama0031"
2009-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.5,"calama0031"
2009-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.4,"calama0031"
2010-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.1,"calama0031"
2010-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",8,"calama0031"
2010-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.1,"calama0031"
2010-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.9,"calama0031"
2011-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.7,"calama0031"
2011-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.6,"calama0031"
2011-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.5,"calama0031"
2011-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.6,"calama0031"
2012-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.5,"calama0031"
2012-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.4,"calama0031"
2012-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.4,"calama0031"
2012-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2013-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2013-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2013-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2013-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.3,"calama0031"
2014-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2014-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.4,"calama0031"
2014-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2014-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2015-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2015-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2015-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2015-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.3,"calama0031"
2016-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.3,"calama0031"
2016-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2016-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.2,"calama0031"
2016-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.1,"calama0031"
2017-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.8,"calama0031"
2017-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.5,"calama0031"
2017-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.4,"calama0031"
2017-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2018-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.2,"calama0031"
2018-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.1,"calama0031"
2018-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.1,"calama0031"
2018-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.9,"calama0031"
2019-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.9,"calama0031"
2019-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.6,"calama0031"
2019-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.8,"calama0031"
2019-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.9,"calama0031"
2020-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.3,"calama0031"
2020-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",13.1,"calama0031"
2020-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",9.3,"calama0031"
2020-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",8.6,"calama0031"
2021-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.7,"calama0031"
2021-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",7.4,"calama0031"
2021-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.6,"calama0031"
2021-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6,"calama0031"
2022-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.3,"calama0031"
2022-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",4.9,"calama0031"
2022-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.2,"calama0031"
2022-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.1,"calama0031"
2023-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",5,"calama0031"
2023-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.2,"calama0031"
2023-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.4,"calama0031"
2023-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.6,"calama0031"
2024-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",5.8,"calama0031"
2024-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.1,"calama0031"
2024-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2024-10-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.5,"calama0031"
2025-01-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.3,"calama0031"
2025-04-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.5,"calama0031"
2025-07-01,"Canada, Labor Market Indicators, Labor Market Indicator",6.7,"calama0031"
1998-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
1998-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
1998-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
1998-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
1999-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
1999-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.6,"calama0068"
1999-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
1999-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2000-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.2,"calama0068"
2000-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.9,"calama0068"
2000-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.7,"calama0068"
2000-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
2001-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2001-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1.8,"calama0068"
2001-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2001-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.7,"calama0068"
2002-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
2002-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.5,"calama0068"
2002-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2,"calama0068"
2002-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2003-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1.9,"calama0068"
2003-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.1,"calama0068"
2003-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2003-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2004-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.7,"calama0068"
2004-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2004-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2004-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
2005-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
2005-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
2005-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2005-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.3,"calama0068"
2006-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2006-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2006-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.4,"calama0068"
2006-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.4,"calama0068"
2007-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.7,"calama0068"
2007-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.8,"calama0068"
2007-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.4,"calama0068"
2007-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.3,"calama0068"
2008-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3.1,"calama0068"
2008-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.7,"calama0068"
2008-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2008-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.5,"calama0068"
2009-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2009-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2009-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.1,"calama0068"
2009-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2010-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2,"calama0068"
2010-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2,"calama0068"
2010-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2010-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.2,"calama0068"
2011-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
2011-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",3,"calama0068"
2011-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
2011-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
2012-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.5,"calama0068"
2012-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2012-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2012-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2013-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2013-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2013-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2013-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.5,"calama0068"
2014-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2014-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2014-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.6,"calama0068"
2014-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.3,"calama0068"
2015-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.4,"calama0068"
2015-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.1,"calama0068"
2015-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1.7,"calama0068"
2015-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1.4,"calama0068"
2016-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",0.8,"calama0068"
2016-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",0.7,"calama0068"
2016-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1,"calama0068"
2016-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",1.4,"calama0068"
2017-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.1,"calama0068"
2017-04-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.5,"calama0068"
2017-07-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.7,"calama0068"
2017-10-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.8,"calama0068"
2018-01-01,"Canada, Labor Market Indicators, Wage-common, Total, Change Y/Y",2.9,"calama0068"
