REF_DATE,GEO,Labour_force_characteristics,National_Occupational_Classification__NOC_,Gender,VALUE
1997,Nouveau-Brunswick,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,52.2
1997,Nouveau-Brunswick,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,46.7
1997,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,57.9
1997,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,42.1
1997,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,88.7
1997,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,13.2
1997,Québec,Proportion d'emplois,"Total, toutes les professions",Homme+,55.1
1997,Québec,Proportion d'emplois,"Total, toutes les professions",Femme+,44.9
1997,Québec,Proportion d'emplois,Professions en gestion,Homme+,65.1
1997,Québec,Proportion d'emplois,Professions en gestion,Femme+,34.9
1997,Québec,Proportion d'emplois,Professions législatives et de haute direction,Homme+,72.9
1997,Québec,Proportion d'emplois,Professions législatives et de haute direction,Femme+,27.1
1997,Québec,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,48.9
1997,Québec,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,51
1997,Québec,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,63.8
1997,Québec,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,36.1
1997,Québec,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,83
1997,Québec,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,17
1997,Ontario,Proportion d'emplois,"Total, toutes les professions",Homme+,54.3
1997,Ontario,Proportion d'emplois,"Total, toutes les professions",Femme+,45.7
1997,Ontario,Proportion d'emplois,Professions en gestion,Homme+,64
1997,Ontario,Proportion d'emplois,Professions en gestion,Femme+,36
1997,Ontario,Proportion d'emplois,Professions législatives et de haute direction,Homme+,75.6
1997,Ontario,Proportion d'emplois,Professions législatives et de haute direction,Femme+,24.4
1997,Ontario,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,54
1997,Ontario,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,46
1997,Ontario,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,59.8
1997,Ontario,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,40.2
1997,Ontario,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,81.1
1997,Ontario,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,18.9
1997,Manitoba,Proportion d'emplois,"Total, toutes les professions",Homme+,54.4
1997,Manitoba,Proportion d'emplois,"Total, toutes les professions",Femme+,45.6
1997,Manitoba,Proportion d'emplois,Professions en gestion,Homme+,69.3
1997,Manitoba,Proportion d'emplois,Professions en gestion,Femme+,30.7
1997,Manitoba,Proportion d'emplois,Professions législatives et de haute direction,Homme+,77.8
1997,Manitoba,Proportion d'emplois,Professions législatives et de haute direction,Femme+,22.2
1997,Manitoba,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,52.2
1997,Manitoba,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,47.8
1997,Manitoba,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,62.9
1997,Manitoba,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,37.1
1997,Manitoba,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,80.7
1997,Manitoba,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,19.3
1997,Saskatchewan,Proportion d'emplois,"Total, toutes les professions",Homme+,55.1
1997,Saskatchewan,Proportion d'emplois,"Total, toutes les professions",Femme+,44.9
1997,Saskatchewan,Proportion d'emplois,Professions en gestion,Homme+,71.9
1997,Saskatchewan,Proportion d'emplois,Professions en gestion,Femme+,28.1
1997,Saskatchewan,Proportion d'emplois,Professions législatives et de haute direction,Homme+,59.3
1997,Saskatchewan,Proportion d'emplois,Professions législatives et de haute direction,Femme+,37
1997,Saskatchewan,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,58.3
1997,Saskatchewan,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,41
1997,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,63.1
1997,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,36.9
1997,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,78.3
1997,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,21.7
1997,Alberta,Proportion d'emplois,"Total, toutes les professions",Homme+,55.2
1997,Alberta,Proportion d'emplois,"Total, toutes les professions",Femme+,44.8
1997,Alberta,Proportion d'emplois,Professions en gestion,Homme+,65.1
1997,Alberta,Proportion d'emplois,Professions en gestion,Femme+,34.9
1997,Alberta,Proportion d'emplois,Professions législatives et de haute direction,Homme+,71.6
1997,Alberta,Proportion d'emplois,Professions législatives et de haute direction,Femme+,26.9
1997,Alberta,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,50.8
1997,Alberta,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,49.2
1997,Alberta,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,58.4
1997,Alberta,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,41.6
1997,Alberta,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,76.4
1997,Alberta,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,23.6
1997,Colombie-britannique,Proportion d'emplois,"Total, toutes les professions",Homme+,54.1
1997,Colombie-britannique,Proportion d'emplois,"Total, toutes les professions",Femme+,45.9
1997,Colombie-britannique,Proportion d'emplois,Professions en gestion,Homme+,63.4
1997,Colombie-britannique,Proportion d'emplois,Professions en gestion,Femme+,36.6
1997,Colombie-britannique,Proportion d'emplois,Professions législatives et de haute direction,Homme+,67.3
1997,Colombie-britannique,Proportion d'emplois,Professions législatives et de haute direction,Femme+,33.7
1997,Colombie-britannique,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,59.2
1997,Colombie-britannique,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,40.6
1997,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,57
1997,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,43
1997,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,79.5
1997,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,20.5
1998,Canada,Proportion d'emplois,"Total, toutes les professions",Homme+,54.2
1998,Canada,Proportion d'emplois,"Total, toutes les professions",Femme+,45.8
1998,Canada,Proportion d'emplois,Professions en gestion,Homme+,63.7
1998,Canada,Proportion d'emplois,Professions en gestion,Femme+,36.3
1998,Canada,Proportion d'emplois,Professions législatives et de haute direction,Homme+,72.2
1998,Canada,Proportion d'emplois,Professions législatives et de haute direction,Femme+,27.9
1998,Canada,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,51.1
1998,Canada,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,48.9
1998,Canada,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,59.3
1998,Canada,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,40.7
1998,Canada,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,79.5
1998,Canada,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,20.5
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Total, toutes les professions",Homme+,53.7
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Total, toutes les professions",Femme+,46.3
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions en gestion,Homme+,63.9
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions en gestion,Femme+,36.1
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,58.3
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,43.8
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,60.4
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,39.6
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,NA
1998,Terre-Neuve-et-Labrador,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,NA
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Total, toutes les professions",Homme+,51.7
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Total, toutes les professions",Femme+,48.2
1998,Île-du-Prince-Édouard,Proportion d'emplois,Professions en gestion,Homme+,64.7
1998,Île-du-Prince-Édouard,Proportion d'emplois,Professions en gestion,Femme+,35.3
1998,Île-du-Prince-Édouard,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1998,Île-du-Prince-Édouard,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1998,Île-du-Prince-Édouard,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,43.8
1998,Île-du-Prince-Édouard,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,50
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,52
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,48
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,88
1998,Île-du-Prince-Édouard,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,12
1998,Nouvelle-Écosse,Proportion d'emplois,"Total, toutes les professions",Homme+,53.1
1998,Nouvelle-Écosse,Proportion d'emplois,"Total, toutes les professions",Femme+,46.9
1998,Nouvelle-Écosse,Proportion d'emplois,Professions en gestion,Homme+,61.4
1998,Nouvelle-Écosse,Proportion d'emplois,Professions en gestion,Femme+,38.3
1998,Nouvelle-Écosse,Proportion d'emplois,Professions législatives et de haute direction,Homme+,47.1
1998,Nouvelle-Écosse,Proportion d'emplois,Professions législatives et de haute direction,Femme+,52.9
1998,Nouvelle-Écosse,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,51.4
1998,Nouvelle-Écosse,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,48.6
1998,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,60
1998,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,40
1998,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,84.5
1998,Nouvelle-Écosse,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,15.5
1998,Nouveau-Brunswick,Proportion d'emplois,"Total, toutes les professions",Homme+,53.4
1998,Nouveau-Brunswick,Proportion d'emplois,"Total, toutes les professions",Femme+,46.6
1998,Nouveau-Brunswick,Proportion d'emplois,Professions en gestion,Homme+,60.7
1998,Nouveau-Brunswick,Proportion d'emplois,Professions en gestion,Femme+,39
1998,Nouveau-Brunswick,Proportion d'emplois,Professions législatives et de haute direction,Homme+,NA
1998,Nouveau-Brunswick,Proportion d'emplois,Professions législatives et de haute direction,Femme+,NA
1998,Nouveau-Brunswick,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,51.6
1998,Nouveau-Brunswick,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,49.5
1998,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,59
1998,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,41
1998,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,84
1998,Nouveau-Brunswick,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,16
1998,Québec,Proportion d'emplois,"Total, toutes les professions",Homme+,55.1
1998,Québec,Proportion d'emplois,"Total, toutes les professions",Femme+,44.9
1998,Québec,Proportion d'emplois,Professions en gestion,Homme+,65.9
1998,Québec,Proportion d'emplois,Professions en gestion,Femme+,34.1
1998,Québec,Proportion d'emplois,Professions législatives et de haute direction,Homme+,78.8
1998,Québec,Proportion d'emplois,Professions législatives et de haute direction,Femme+,20.7
1998,Québec,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,53.2
1998,Québec,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,46.8
1998,Québec,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,63.6
1998,Québec,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,36.5
1998,Québec,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,79.8
1998,Québec,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,20
1998,Ontario,Proportion d'emplois,"Total, toutes les professions",Homme+,53.9
1998,Ontario,Proportion d'emplois,"Total, toutes les professions",Femme+,46.1
1998,Ontario,Proportion d'emplois,Professions en gestion,Homme+,62.4
1998,Ontario,Proportion d'emplois,Professions en gestion,Femme+,37.6
1998,Ontario,Proportion d'emplois,Professions législatives et de haute direction,Homme+,74.4
1998,Ontario,Proportion d'emplois,Professions législatives et de haute direction,Femme+,25.6
1998,Ontario,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,49.9
1998,Ontario,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,50.1
1998,Ontario,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,58.8
1998,Ontario,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,41.2
1998,Ontario,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,81.4
1998,Ontario,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,18.7
1998,Manitoba,Proportion d'emplois,"Total, toutes les professions",Homme+,54.5
1998,Manitoba,Proportion d'emplois,"Total, toutes les professions",Femme+,45.5
1998,Manitoba,Proportion d'emplois,Professions en gestion,Homme+,67.1
1998,Manitoba,Proportion d'emplois,Professions en gestion,Femme+,32.7
1998,Manitoba,Proportion d'emplois,Professions législatives et de haute direction,Homme+,60.6
1998,Manitoba,Proportion d'emplois,Professions législatives et de haute direction,Femme+,39.4
1998,Manitoba,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,50.9
1998,Manitoba,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,49.1
1998,Manitoba,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,62.4
1998,Manitoba,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,37.6
1998,Manitoba,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,78.8
1998,Manitoba,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,21.2
1998,Saskatchewan,Proportion d'emplois,"Total, toutes les professions",Homme+,54.9
1998,Saskatchewan,Proportion d'emplois,"Total, toutes les professions",Femme+,45.1
1998,Saskatchewan,Proportion d'emplois,Professions en gestion,Homme+,69.9
1998,Saskatchewan,Proportion d'emplois,Professions en gestion,Femme+,30.1
1998,Saskatchewan,Proportion d'emplois,Professions législatives et de haute direction,Homme+,57.7
1998,Saskatchewan,Proportion d'emplois,Professions législatives et de haute direction,Femme+,42.3
1998,Saskatchewan,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,50.4
1998,Saskatchewan,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,49.6
1998,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,54.6
1998,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,45.4
1998,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,79.7
1998,Saskatchewan,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,20.3
1998,Alberta,Proportion d'emplois,"Total, toutes les professions",Homme+,54.9
1998,Alberta,Proportion d'emplois,"Total, toutes les professions",Femme+,45.1
1998,Alberta,Proportion d'emplois,Professions en gestion,Homme+,62.8
1998,Alberta,Proportion d'emplois,Professions en gestion,Femme+,37.2
1998,Alberta,Proportion d'emplois,Professions législatives et de haute direction,Homme+,67.1
1998,Alberta,Proportion d'emplois,Professions législatives et de haute direction,Femme+,32.9
1998,Alberta,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,44.4
1998,Alberta,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,55.6
1998,Alberta,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,56.4
1998,Alberta,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,43.8
1998,Alberta,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,76.1
1998,Alberta,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,23.9
1998,Colombie-britannique,Proportion d'emplois,"Total, toutes les professions",Homme+,53.5
1998,Colombie-britannique,Proportion d'emplois,"Total, toutes les professions",Femme+,46.5
1998,Colombie-britannique,Proportion d'emplois,Professions en gestion,Homme+,61.7
1998,Colombie-britannique,Proportion d'emplois,Professions en gestion,Femme+,38.3
1998,Colombie-britannique,Proportion d'emplois,Professions législatives et de haute direction,Homme+,65.1
1998,Colombie-britannique,Proportion d'emplois,Professions législatives et de haute direction,Femme+,34.9
1998,Colombie-britannique,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Homme+,56.7
1998,Colombie-britannique,Proportion d'emplois,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Femme+,43.3
1998,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Homme+,56.6
1998,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Femme+,43.4
1998,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Homme+,78.4
1998,Colombie-britannique,Proportion d'emplois,"Cadres intermédiaires des métiers, des transports, de la production et des services d’utilité publique",Femme+,21.8
1999,Canada,Proportion d'emplois,"Total, toutes les professions",Homme+,54.1
1999,Canada,Proportion d'emplois,"Total, toutes les professions",Femme+,45.9
1999,Canada,Proportion d'emplois,Professions en gestion,Homme+,65.9
