REF_DATE,Date,GEO,Labour_force_characteristics,Educational_attainment,Gender,Age_group,VALUE,Classification_Code_for_Labour_force_characteristics,Classification_Code_for_Educational_attainment,Classification_Code_for_Gender,Classification_Code_for_Age_group
1991,1991-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.2,NA,NA,NA,NA
1991,1991-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.6,NA,NA,NA,NA
1991,1991-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,61.1,NA,NA,NA,NA
1991,1991-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.7,NA,NA,NA,NA
1991,1991-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.8,NA,NA,NA,NA
1991,1991-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.6,NA,NA,NA,NA
1991,1991-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.1,NA,NA,NA,NA
1991,1991-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.5,NA,NA,NA,NA
1991,1991-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.4,NA,NA,NA,NA
1991,1991-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.8,NA,NA,NA,NA
1991,1991-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,74.9,NA,NA,NA,NA
1991,1991-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.6,NA,NA,NA,NA
1991,1991-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.8,NA,NA,NA,NA
1991,1991-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77,NA,NA,NA,NA
1991,1991-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.5,NA,NA,NA,NA
1992,1992-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.3,NA,NA,NA,NA
1992,1992-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.3,NA,NA,NA,NA
1992,1992-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,62.8,NA,NA,NA,NA
1992,1992-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,52,NA,NA,NA,NA
1992,1992-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.6,NA,NA,NA,NA
1992,1992-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,65.9,NA,NA,NA,NA
1992,1992-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.4,NA,NA,NA,NA
1992,1992-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.3,NA,NA,NA,NA
1992,1992-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.2,NA,NA,NA,NA
1992,1992-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,61.5,NA,NA,NA,NA
1992,1992-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71,NA,NA,NA,NA
1992,1992-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.1,NA,NA,NA,NA
1992,1992-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.4,NA,NA,NA,NA
1992,1992-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71,NA,NA,NA,NA
1992,1992-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.2,NA,NA,NA,NA
1992,1992-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.6,NA,NA,NA,NA
1992,1992-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.7,NA,NA,NA,NA
1992,1992-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1992,1992-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.8,NA,NA,NA,NA
1992,1992-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.2,NA,NA,NA,NA
1992,1992-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.1,NA,NA,NA,NA
1992,1992-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.3,NA,NA,NA,NA
1993,1993-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.7,NA,NA,NA,NA
1993,1993-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.1,NA,NA,NA,NA
1993,1993-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63,NA,NA,NA,NA
1993,1993-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,52.1,NA,NA,NA,NA
1993,1993-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.3,NA,NA,NA,NA
1993,1993-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,66.5,NA,NA,NA,NA
1993,1993-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.6,NA,NA,NA,NA
1993,1993-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,62.9,NA,NA,NA,NA
1993,1993-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.6,NA,NA,NA,NA
1993,1993-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,62.1,NA,NA,NA,NA
1993,1993-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.5,NA,NA,NA,NA
1993,1993-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.3,NA,NA,NA,NA
1993,1993-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.5,NA,NA,NA,NA
1993,1993-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.1,NA,NA,NA,NA
1993,1993-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.9,NA,NA,NA,NA
1993,1993-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.9,NA,NA,NA,NA
1993,1993-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.9,NA,NA,NA,NA
1993,1993-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1993,1993-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.8,NA,NA,NA,NA
1993,1993-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.6,NA,NA,NA,NA
1993,1993-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.3,NA,NA,NA,NA
1993,1993-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.6,NA,NA,NA,NA
1994,1994-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1994,1994-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.6,NA,NA,NA,NA
1994,1994-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63,NA,NA,NA,NA
1994,1994-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,52.2,NA,NA,NA,NA
1994,1994-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80,NA,NA,NA,NA
1994,1994-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,67.9,NA,NA,NA,NA
1994,1994-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.1,NA,NA,NA,NA
1994,1994-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,62.8,NA,NA,NA,NA
1994,1994-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.9,NA,NA,NA,NA
1994,1994-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,61.5,NA,NA,NA,NA
1994,1994-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.2,NA,NA,NA,NA
1994,1994-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.5,NA,NA,NA,NA
1994,1994-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.9,NA,NA,NA,NA
1994,1994-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.5,NA,NA,NA,NA
1994,1994-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.9,NA,NA,NA,NA
1994,1994-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.2,NA,NA,NA,NA
1994,1994-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.2,NA,NA,NA,NA
1994,1994-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1994,1994-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.7,NA,NA,NA,NA
1994,1994-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,74,NA,NA,NA,NA
1994,1994-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.7,NA,NA,NA,NA
1994,1994-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.8,NA,NA,NA,NA
1995,1995-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.7,NA,NA,NA,NA
1995,1995-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.4,NA,NA,NA,NA
1995,1995-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63.2,NA,NA,NA,NA
1995,1995-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,54.1,NA,NA,NA,NA
1995,1995-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.6,NA,NA,NA,NA
1995,1995-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69,NA,NA,NA,NA
1995,1995-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.5,NA,NA,NA,NA
1995,1995-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,63,NA,NA,NA,NA
1995,1995-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.1,NA,NA,NA,NA
1995,1995-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.1,NA,NA,NA,NA
1995,1995-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.6,NA,NA,NA,NA
1995,1995-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,65.3,NA,NA,NA,NA
1995,1995-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.7,NA,NA,NA,NA
1995,1995-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.7,NA,NA,NA,NA
1995,1995-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.2,NA,NA,NA,NA
1995,1995-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1995,1995-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.1,NA,NA,NA,NA
1995,1995-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.5,NA,NA,NA,NA
1995,1995-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.7,NA,NA,NA,NA
1995,1995-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.1,NA,NA,NA,NA
1995,1995-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.9,NA,NA,NA,NA
1995,1995-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.5,NA,NA,NA,NA
1996,1996-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76,NA,NA,NA,NA
1996,1996-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.6,NA,NA,NA,NA
1996,1996-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,62.8,NA,NA,NA,NA
1996,1996-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,53.6,NA,NA,NA,NA
1996,1996-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,81.6,NA,NA,NA,NA
1996,1996-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.1,NA,NA,NA,NA
1996,1996-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.6,NA,NA,NA,NA
1996,1996-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.1,NA,NA,NA,NA
1996,1996-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.5,NA,NA,NA,NA
1996,1996-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64,NA,NA,NA,NA
1996,1996-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.8,NA,NA,NA,NA
1996,1996-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,65.5,NA,NA,NA,NA
1996,1996-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.4,NA,NA,NA,NA
1996,1996-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.9,NA,NA,NA,NA
1996,1996-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.3,NA,NA,NA,NA
1996,1996-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.4,NA,NA,NA,NA
1996,1996-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,79.9,NA,NA,NA,NA
1996,1996-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.6,NA,NA,NA,NA
1996,1996-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.8,NA,NA,NA,NA
1996,1996-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.3,NA,NA,NA,NA
1996,1996-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.6,NA,NA,NA,NA
1996,1996-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,70.7,NA,NA,NA,NA
1997,1997-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.9,NA,NA,NA,NA
1997,1997-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71,NA,NA,NA,NA
1997,1997-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,65.2,NA,NA,NA,NA
1997,1997-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,55.6,NA,NA,NA,NA
1997,1997-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.8,NA,NA,NA,NA
1997,1997-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,69.2,NA,NA,NA,NA
1997,1997-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73,NA,NA,NA,NA
1997,1997-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,66.2,NA,NA,NA,NA
1997,1997-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.3,NA,NA,NA,NA
1997,1997-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,64.8,NA,NA,NA,NA
1997,1997-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,74.2,NA,NA,NA,NA
1997,1997-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,67.3,NA,NA,NA,NA
1997,1997-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.9,NA,NA,NA,NA
1997,1997-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.1,NA,NA,NA,NA
1997,1997-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.3,NA,NA,NA,NA
1997,1997-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,75.8,NA,NA,NA,NA
1997,1997-07-01,Saskatchewan,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.5,NA,NA,NA,NA
1997,1997-07-01,Saskatchewan,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.6,NA,NA,NA,NA
1997,1997-07-01,Alberta,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,81.1,NA,NA,NA,NA
1997,1997-07-01,Alberta,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,76.8,NA,NA,NA,NA
1997,1997-07-01,Colombie-britannique,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.8,NA,NA,NA,NA
1997,1997-07-01,Colombie-britannique,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.5,NA,NA,NA,NA
1998,1998-07-01,Canada,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77.6,NA,NA,NA,NA
1998,1998-07-01,Canada,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,72.2,NA,NA,NA,NA
1998,1998-07-01,Terre-Neuve-et-Labrador,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,67,NA,NA,NA,NA
1998,1998-07-01,Terre-Neuve-et-Labrador,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,57.3,NA,NA,NA,NA
1998,1998-07-01,Île-du-Prince-Édouard,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,82.3,NA,NA,NA,NA
1998,1998-07-01,Île-du-Prince-Édouard,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,71.8,NA,NA,NA,NA
1998,1998-07-01,Nouvelle-Écosse,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.4,NA,NA,NA,NA
1998,1998-07-01,Nouvelle-Écosse,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,67.4,NA,NA,NA,NA
1998,1998-07-01,Nouveau-Brunswick,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.2,NA,NA,NA,NA
1998,1998-07-01,Nouveau-Brunswick,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,65.8,NA,NA,NA,NA
1998,1998-07-01,Québec,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,74.9,NA,NA,NA,NA
1998,1998-07-01,Québec,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,68.3,NA,NA,NA,NA
1998,1998-07-01,Ontario,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,78.8,NA,NA,NA,NA
1998,1998-07-01,Ontario,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,73.9,NA,NA,NA,NA
1998,1998-07-01,Manitoba,Taux de participation,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,80.8,NA,NA,NA,NA
1998,1998-07-01,Manitoba,Taux d’emploi,"Total, tous niveaux d'éducation",Femme+,25 à 54 années,77,NA,NA,NA,NA
