"Date","description","Value","Macrobond_Code"
2023-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",117630,"catran0052"
2023-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",136936,"catran0052"
2023-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139726,"catran0052"
2023-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",139726,"catran0052"
2023-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",148391,"catran0052"
2023-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",144838,"catran0052"
2024-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",147139,"catran0052"
2024-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",153916,"catran0052"
2024-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",159521,"catran0052"
2024-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",161543,"catran0052"
2024-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",157598,"catran0052"
2024-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",152913,"catran0052"
2024-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",169265,"catran0052"
2024-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",155706,"catran0052"
2024-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",153249,"catran0052"
2024-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",150373,"catran0052"
2024-11-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",122768,"catran0052"
2024-12-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",145908,"catran0052"
2025-01-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",170862,"catran0052"
2025-02-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",126470,"catran0052"
2025-03-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",153160,"catran0052"
2025-04-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",166921,"catran0052"
2025-05-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",178779,"catran0052"
2025-06-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",167883,"catran0052"
2025-07-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",173626,"catran0052"
2025-08-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",153264,"catran0052"
2025-09-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",174248,"catran0052"
2025-10-01,"Canada, Port of Vancouver, Traffic, Ports, Import, Total",146191,"catran0052"
2008-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",83828,"catran0055"
2008-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",102914,"catran0055"
2008-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",91498,"catran0055"
2008-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",98386,"catran0055"
2008-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",108130,"catran0055"
2008-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",98633,"catran0055"
2008-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",101911,"catran0055"
2008-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",107434,"catran0055"
2008-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",108691,"catran0055"
2008-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",111199,"catran0055"
2008-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",98709,"catran0055"
2008-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",86467,"catran0055"
2009-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",79611,"catran0055"
2009-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",78562,"catran0055"
2009-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",85951,"catran0055"
2009-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",85065,"catran0055"
2009-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",96582,"catran0055"
2009-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",88777,"catran0055"
2009-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",83085,"catran0055"
2009-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",87057,"catran0055"
2009-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",83885,"catran0055"
2009-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",85407,"catran0055"
2009-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",88654,"catran0055"
2009-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",86977,"catran0055"
2010-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",84319,"catran0055"
2010-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",74608,"catran0055"
2010-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",90775,"catran0055"
2010-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",95455,"catran0055"
2010-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",104465,"catran0055"
2010-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",102501,"catran0055"
2010-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",108997,"catran0055"
2010-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",112935,"catran0055"
2010-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",108163,"catran0055"
2010-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",124829,"catran0055"
2010-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",105452,"catran0055"
2010-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",104867,"catran0055"
2011-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",86218,"catran0055"
2011-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",92185,"catran0055"
2011-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",91756,"catran0055"
2011-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",103392,"catran0055"
2011-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",106526,"catran0055"
2011-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",109362,"catran0055"
2011-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",98829,"catran0055"
2011-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",94165,"catran0055"
2011-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",107503,"catran0055"
2011-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",97607,"catran0055"
2011-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",95618,"catran0055"
2011-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",103260,"catran0055"
2012-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",87162,"catran0055"
2012-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",93435,"catran0055"
2012-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",100835,"catran0055"
2012-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",103558,"catran0055"
2012-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",105330,"catran0055"
2012-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",98160,"catran0055"
2012-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",113541,"catran0055"
2012-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",111416,"catran0055"
2012-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",104560,"catran0055"
2012-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",119850,"catran0055"
2012-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",120482,"catran0055"
2012-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",103524,"catran0055"
2013-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",92244,"catran0055"
2013-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",97807,"catran0055"
2013-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",101404,"catran0055"
2013-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",105885,"catran0055"
2013-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",112439,"catran0055"
2013-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",110908,"catran0055"
2013-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",110705,"catran0055"
2013-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",122696,"catran0055"
2013-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",110742,"catran0055"
2013-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",125645,"catran0055"
2013-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",115662,"catran0055"
2013-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",111346,"catran0055"
2014-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",94848,"catran0055"
2014-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",94613,"catran0055"
2014-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",74810,"catran0055"
2014-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",112834,"catran0055"
2014-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",136973,"catran0055"
2014-06-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",128572,"catran0055"
2014-07-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",122093,"catran0055"
2014-08-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",123795,"catran0055"
2014-09-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",124715,"catran0055"
2014-10-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",128194,"catran0055"
2014-11-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",103369,"catran0055"
2014-12-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",111408,"catran0055"
2015-01-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",105105,"catran0055"
2015-02-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",115135,"catran0055"
2015-03-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",115918,"catran0055"
2015-04-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",128252,"catran0055"
2015-05-01,"Canada, Port of Vancouver, Traffic, Ports, Export, Total",140931,"catran0055"
