REF_DATE,GEO,Labour_force_characteristics,National_Occupational_Classification__NOC_,Gender,VALUE
1997,Saskatchewan,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,78.3
1997,Saskatchewan,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,21.7
1997,Alberta,Proportion of employment,"Total, all occupations",Men,55.2
1997,Alberta,Proportion of employment,"Total, all occupations",Women,44.8
1997,Alberta,Proportion of employment,Management occupations,Men,65.1
1997,Alberta,Proportion of employment,Management occupations,Women,34.9
1997,Alberta,Proportion of employment,Legislative and senior management occupations,Men,71.6
1997,Alberta,Proportion of employment,Legislative and senior management occupations,Women,26.9
1997,Alberta,Proportion of employment,Specialized middle management occupations,Men,50.8
1997,Alberta,Proportion of employment,Specialized middle management occupations,Women,49.2
1997,Alberta,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,58.4
1997,Alberta,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,41.6
1997,Alberta,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,76.4
1997,Alberta,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,23.6
1997,British Columbia,Proportion of employment,"Total, all occupations",Men,54.1
1997,British Columbia,Proportion of employment,"Total, all occupations",Women,45.9
1997,British Columbia,Proportion of employment,Management occupations,Men,63.4
1997,British Columbia,Proportion of employment,Management occupations,Women,36.6
1997,British Columbia,Proportion of employment,Legislative and senior management occupations,Men,67.3
1997,British Columbia,Proportion of employment,Legislative and senior management occupations,Women,33.7
1997,British Columbia,Proportion of employment,Specialized middle management occupations,Men,59.2
1997,British Columbia,Proportion of employment,Specialized middle management occupations,Women,40.6
1997,British Columbia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,57
1997,British Columbia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,43
1997,British Columbia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,79.5
1997,British Columbia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,20.5
1998,Canada,Proportion of employment,"Total, all occupations",Men,54.2
1998,Canada,Proportion of employment,"Total, all occupations",Women,45.8
1998,Canada,Proportion of employment,Management occupations,Men,63.7
1998,Canada,Proportion of employment,Management occupations,Women,36.3
1998,Canada,Proportion of employment,Legislative and senior management occupations,Men,72.2
1998,Canada,Proportion of employment,Legislative and senior management occupations,Women,27.9
1998,Canada,Proportion of employment,Specialized middle management occupations,Men,51.1
1998,Canada,Proportion of employment,Specialized middle management occupations,Women,48.9
1998,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,59.3
1998,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,40.7
1998,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,79.5
1998,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,20.5
1998,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Men,53.7
1998,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Women,46.3
1998,Newfoundland and Labrador,Proportion of employment,Management occupations,Men,63.9
1998,Newfoundland and Labrador,Proportion of employment,Management occupations,Women,36.1
1998,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Men,NA
1998,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Women,NA
1998,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Men,58.3
1998,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Women,43.8
1998,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60.4
1998,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.6
1998,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,NA
1998,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,NA
1998,Prince Edward Island,Proportion of employment,"Total, all occupations",Men,51.7
1998,Prince Edward Island,Proportion of employment,"Total, all occupations",Women,48.2
1998,Prince Edward Island,Proportion of employment,Management occupations,Men,64.7
1998,Prince Edward Island,Proportion of employment,Management occupations,Women,35.3
1998,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Men,NA
1998,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Women,NA
1998,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Men,43.8
1998,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Women,50
1998,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,52
1998,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,48
1998,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,88
1998,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,12
1998,Nova Scotia,Proportion of employment,"Total, all occupations",Men,53.1
1998,Nova Scotia,Proportion of employment,"Total, all occupations",Women,46.9
1998,Nova Scotia,Proportion of employment,Management occupations,Men,61.4
1998,Nova Scotia,Proportion of employment,Management occupations,Women,38.3
1998,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Men,47.1
1998,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Women,52.9
1998,Nova Scotia,Proportion of employment,Specialized middle management occupations,Men,51.4
1998,Nova Scotia,Proportion of employment,Specialized middle management occupations,Women,48.6
1998,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60
1998,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,40
1998,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,84.5
1998,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,15.5
1998,New Brunswick,Proportion of employment,"Total, all occupations",Men,53.4
1998,New Brunswick,Proportion of employment,"Total, all occupations",Women,46.6
1998,New Brunswick,Proportion of employment,Management occupations,Men,60.7
1998,New Brunswick,Proportion of employment,Management occupations,Women,39
1998,New Brunswick,Proportion of employment,Legislative and senior management occupations,Men,NA
1998,New Brunswick,Proportion of employment,Legislative and senior management occupations,Women,NA
1998,New Brunswick,Proportion of employment,Specialized middle management occupations,Men,51.6
1998,New Brunswick,Proportion of employment,Specialized middle management occupations,Women,49.5
1998,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,59
1998,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,41
1998,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,84
1998,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,16
1998,Quebec,Proportion of employment,"Total, all occupations",Men,55.1
1998,Quebec,Proportion of employment,"Total, all occupations",Women,44.9
1998,Quebec,Proportion of employment,Management occupations,Men,65.9
1998,Quebec,Proportion of employment,Management occupations,Women,34.1
1998,Quebec,Proportion of employment,Legislative and senior management occupations,Men,78.8
1998,Quebec,Proportion of employment,Legislative and senior management occupations,Women,20.7
1998,Quebec,Proportion of employment,Specialized middle management occupations,Men,53.2
1998,Quebec,Proportion of employment,Specialized middle management occupations,Women,46.8
1998,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,63.6
1998,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,36.5
1998,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,79.8
1998,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,20
1998,Ontario,Proportion of employment,"Total, all occupations",Men,53.9
1998,Ontario,Proportion of employment,"Total, all occupations",Women,46.1
1998,Ontario,Proportion of employment,Management occupations,Men,62.4
1998,Ontario,Proportion of employment,Management occupations,Women,37.6
1998,Ontario,Proportion of employment,Legislative and senior management occupations,Men,74.4
1998,Ontario,Proportion of employment,Legislative and senior management occupations,Women,25.6
1998,Ontario,Proportion of employment,Specialized middle management occupations,Men,49.9
1998,Ontario,Proportion of employment,Specialized middle management occupations,Women,50.1
1998,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,58.8
1998,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,41.2
1998,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,81.4
1998,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,18.7
1998,Manitoba,Proportion of employment,"Total, all occupations",Men,54.5
1998,Manitoba,Proportion of employment,"Total, all occupations",Women,45.5
1998,Manitoba,Proportion of employment,Management occupations,Men,67.1
1998,Manitoba,Proportion of employment,Management occupations,Women,32.7
1998,Manitoba,Proportion of employment,Legislative and senior management occupations,Men,60.6
1998,Manitoba,Proportion of employment,Legislative and senior management occupations,Women,39.4
1998,Manitoba,Proportion of employment,Specialized middle management occupations,Men,50.9
1998,Manitoba,Proportion of employment,Specialized middle management occupations,Women,49.1
1998,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,62.4
1998,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,37.6
1998,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,78.8
1998,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,21.2
1998,Saskatchewan,Proportion of employment,"Total, all occupations",Men,54.9
1998,Saskatchewan,Proportion of employment,"Total, all occupations",Women,45.1
1998,Saskatchewan,Proportion of employment,Management occupations,Men,69.9
1998,Saskatchewan,Proportion of employment,Management occupations,Women,30.1
1998,Saskatchewan,Proportion of employment,Legislative and senior management occupations,Men,57.7
1998,Saskatchewan,Proportion of employment,Legislative and senior management occupations,Women,42.3
1998,Saskatchewan,Proportion of employment,Specialized middle management occupations,Men,50.4
1998,Saskatchewan,Proportion of employment,Specialized middle management occupations,Women,49.6
1998,Saskatchewan,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,54.6
1998,Saskatchewan,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,45.4
1998,Saskatchewan,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,79.7
1998,Saskatchewan,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,20.3
1998,Alberta,Proportion of employment,"Total, all occupations",Men,54.9
1998,Alberta,Proportion of employment,"Total, all occupations",Women,45.1
1998,Alberta,Proportion of employment,Management occupations,Men,62.8
1998,Alberta,Proportion of employment,Management occupations,Women,37.2
1998,Alberta,Proportion of employment,Legislative and senior management occupations,Men,67.1
1998,Alberta,Proportion of employment,Legislative and senior management occupations,Women,32.9
1998,Alberta,Proportion of employment,Specialized middle management occupations,Men,44.4
1998,Alberta,Proportion of employment,Specialized middle management occupations,Women,55.6
1998,Alberta,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,56.4
1998,Alberta,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,43.8
1998,Alberta,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,76.1
1998,Alberta,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,23.9
1998,British Columbia,Proportion of employment,"Total, all occupations",Men,53.5
1998,British Columbia,Proportion of employment,"Total, all occupations",Women,46.5
1998,British Columbia,Proportion of employment,Management occupations,Men,61.7
1998,British Columbia,Proportion of employment,Management occupations,Women,38.3
1998,British Columbia,Proportion of employment,Legislative and senior management occupations,Men,65.1
1998,British Columbia,Proportion of employment,Legislative and senior management occupations,Women,34.9
1998,British Columbia,Proportion of employment,Specialized middle management occupations,Men,56.7
1998,British Columbia,Proportion of employment,Specialized middle management occupations,Women,43.3
1998,British Columbia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,56.6
1998,British Columbia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,43.4
1998,British Columbia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,78.4
1998,British Columbia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,21.8
1999,Canada,Proportion of employment,"Total, all occupations",Men,54.1
1999,Canada,Proportion of employment,"Total, all occupations",Women,45.9
1999,Canada,Proportion of employment,Management occupations,Men,65.9
1999,Canada,Proportion of employment,Management occupations,Women,34.1
1999,Canada,Proportion of employment,Legislative and senior management occupations,Men,72.1
1999,Canada,Proportion of employment,Legislative and senior management occupations,Women,28
1999,Canada,Proportion of employment,Specialized middle management occupations,Men,54.8
1999,Canada,Proportion of employment,Specialized middle management occupations,Women,45.2
1999,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60.2
1999,Canada,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.8
1999,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,81.4
1999,Canada,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,18.6
1999,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Men,53.7
1999,Newfoundland and Labrador,Proportion of employment,"Total, all occupations",Women,46.3
1999,Newfoundland and Labrador,Proportion of employment,Management occupations,Men,64.8
1999,Newfoundland and Labrador,Proportion of employment,Management occupations,Women,35.2
1999,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Men,NA
1999,Newfoundland and Labrador,Proportion of employment,Legislative and senior management occupations,Women,NA
1999,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Men,63
1999,Newfoundland and Labrador,Proportion of employment,Specialized middle management occupations,Women,37
1999,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,56.1
1999,Newfoundland and Labrador,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,45.1
1999,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,NA
1999,Newfoundland and Labrador,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,NA
1999,Prince Edward Island,Proportion of employment,"Total, all occupations",Men,52.4
1999,Prince Edward Island,Proportion of employment,"Total, all occupations",Women,47.6
1999,Prince Edward Island,Proportion of employment,Management occupations,Men,66.7
1999,Prince Edward Island,Proportion of employment,Management occupations,Women,33.3
1999,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Men,NA
1999,Prince Edward Island,Proportion of employment,Legislative and senior management occupations,Women,NA
1999,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Men,50
1999,Prince Edward Island,Proportion of employment,Specialized middle management occupations,Women,50
1999,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,52
1999,Prince Edward Island,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,48
1999,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,91.7
1999,Prince Edward Island,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,8.3
1999,Nova Scotia,Proportion of employment,"Total, all occupations",Men,52.9
1999,Nova Scotia,Proportion of employment,"Total, all occupations",Women,47.1
1999,Nova Scotia,Proportion of employment,Management occupations,Men,63.7
1999,Nova Scotia,Proportion of employment,Management occupations,Women,36
1999,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Men,NA
1999,Nova Scotia,Proportion of employment,Legislative and senior management occupations,Women,NA
1999,Nova Scotia,Proportion of employment,Specialized middle management occupations,Men,52
1999,Nova Scotia,Proportion of employment,Specialized middle management occupations,Women,48
1999,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,61
1999,Nova Scotia,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39
1999,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,85.5
1999,Nova Scotia,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,14.5
1999,New Brunswick,Proportion of employment,"Total, all occupations",Men,53.7
1999,New Brunswick,Proportion of employment,"Total, all occupations",Women,46.3
1999,New Brunswick,Proportion of employment,Management occupations,Men,66.9
1999,New Brunswick,Proportion of employment,Management occupations,Women,33.1
1999,New Brunswick,Proportion of employment,Legislative and senior management occupations,Men,NA
1999,New Brunswick,Proportion of employment,Legislative and senior management occupations,Women,NA
1999,New Brunswick,Proportion of employment,Specialized middle management occupations,Men,56.5
1999,New Brunswick,Proportion of employment,Specialized middle management occupations,Women,43.5
1999,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60.5
1999,New Brunswick,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.5
1999,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,NA
1999,New Brunswick,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,NA
1999,Quebec,Proportion of employment,"Total, all occupations",Men,54.9
1999,Quebec,Proportion of employment,"Total, all occupations",Women,45.1
1999,Quebec,Proportion of employment,Management occupations,Men,67.2
1999,Quebec,Proportion of employment,Management occupations,Women,32.8
1999,Quebec,Proportion of employment,Legislative and senior management occupations,Men,75
1999,Quebec,Proportion of employment,Legislative and senior management occupations,Women,25
1999,Quebec,Proportion of employment,Specialized middle management occupations,Men,58.3
1999,Quebec,Proportion of employment,Specialized middle management occupations,Women,41.7
1999,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,63.8
1999,Quebec,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,36.2
1999,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,80.3
1999,Quebec,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,19.7
1999,Ontario,Proportion of employment,"Total, all occupations",Men,53.8
1999,Ontario,Proportion of employment,"Total, all occupations",Women,46.2
1999,Ontario,Proportion of employment,Management occupations,Men,65.4
1999,Ontario,Proportion of employment,Management occupations,Women,34.6
1999,Ontario,Proportion of employment,Legislative and senior management occupations,Men,70.9
1999,Ontario,Proportion of employment,Legislative and senior management occupations,Women,29.1
1999,Ontario,Proportion of employment,Specialized middle management occupations,Men,54.9
1999,Ontario,Proportion of employment,Specialized middle management occupations,Women,45.1
1999,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,60.1
1999,Ontario,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,39.9
1999,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,83.2
1999,Ontario,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,16.8
1999,Manitoba,Proportion of employment,"Total, all occupations",Men,54
1999,Manitoba,Proportion of employment,"Total, all occupations",Women,46
1999,Manitoba,Proportion of employment,Management occupations,Men,69.1
1999,Manitoba,Proportion of employment,Management occupations,Women,30.9
1999,Manitoba,Proportion of employment,Legislative and senior management occupations,Men,75
1999,Manitoba,Proportion of employment,Legislative and senior management occupations,Women,20.8
1999,Manitoba,Proportion of employment,Specialized middle management occupations,Men,57.4
1999,Manitoba,Proportion of employment,Specialized middle management occupations,Women,42.6
1999,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Men,58.9
1999,Manitoba,Proportion of employment,Middle management occupations in retail and wholesale trade and customer services,Women,41.1
1999,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Men,80.6
1999,Manitoba,Proportion of employment,"Middle management occupations in trades, transportation, production and utilities",Women,19.4
1999,Saskatchewan,Proportion of employment,"Total, all occupations",Men,54.3
1999,Saskatchewan,Proportion of employment,"Total, all occupations",Women,45.7
1999,Saskatchewan,Proportion of employment,Management occupations,Men,70.5
1999,Saskatchewan,Proportion of employment,Management occupations,Women,29.5
